id,question,answer,category,sub_category,question_type,difficulty_level,confidence,validation_score,review_status
qa_20250822_160549_203de4fe,How can I apply for B.Tech CSE with Minor from other Department?,Tech CSE with Minor from other Department ▾ Basic Courses 18SC1103 - Single variable calculus and matrix algebra (Credits:3) 18SC1104 - Foundations of Computational Mathematics (Credits:1) 18SC1105 - ...,admissions,general,procedural,intermediate,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_46db8f1e,How can I apply for B.Tech CSE Honors?,"PO1 Ability to apply knowledge of Mathematics, science and Engineering PO2 Ability to identify, formulate, and solve engineering problems PO3 Ability to design a system, component or process, to meet ...",admissions,general,procedural,intermediate,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_08c9c4da,What documents are required for B.Tech CSE admission?,"Mohan Kumar, Jetti Kumar Certified Network Forensic Professional CNS Research Group Dr K Raja Sekhar / Mr Ch. Praveen Krishna Vision Department of CSE aims to make a stance of international repute thr...",admissions,documents,descriptive,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_08958153,What documents are required for B.Tech CSE with Minor from other Department admission?,Tech CSE with Minor from other Department ▾ Basic Courses 18SC1103 - Single variable calculus and matrix algebra (Credits:3) 18SC1104 - Foundations of Computational Mathematics (Credits:1) 18SC1105 - ...,admissions,documents,descriptive,intermediate,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_0dc7c9f8,What documents are required for B.Tech CSE Honors admission?,Tech CSE Honors ▾ Basic Courses 18SC1103 - Single variable calculus and matrix algebra (Credits:3) 18SC1104 - Foundations of Computational Mathematics (Credits:1) 18SC1105 - Logic and reasoning (Credi...,admissions,documents,descriptive,intermediate,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_fe4d8bc4,What is the selection process for B.Tech CSE?,"PO1 Ability to apply knowledge of Mathematics, science and Engineering PO2 Ability to identify, formulate, and solve engineering problems PO3 Ability to design a system, component or process, to meet ...",admissions,general,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_71c4cf7d,What is the selection process for B.Tech CSE with Minor from other Department?,Tech CSE with Minor from other Department ▾ Basic Courses 18SC1103 - Single variable calculus and matrix algebra (Credits:3) 18SC1104 - Foundations of Computational Mathematics (Credits:1) 18SC1105 - ...,admissions,general,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_d7b051fa,What is the selection process for B.Tech CSE Honors?,"PO1 Ability to apply knowledge of Mathematics, science and Engineering PO2 Ability to identify, formulate, and solve engineering problems PO3 Ability to design a system, component or process, to meet ...",admissions,general,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_66b982de,Are there any scholarships available for B.Tech CSE?,"Mohan Kumar, Jetti Kumar Certified Network Forensic Professional CNS Research Group Dr K Raja Sekhar / Mr Ch. Praveen Krishna Vision Department of CSE aims to make a stance of international repute thr...",admissions,general,yes_no,intermediate,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_24e03380,Are there any scholarships available for B.Tech CSE with Minor from other Department?,Tech CSE with Minor from other Department ▾ Basic Courses 18SC1103 - Single variable calculus and matrix algebra (Credits:3) 18SC1104 - Foundations of Computational Mathematics (Credits:1) 18SC1105 - ...,admissions,general,yes_no,intermediate,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_c2139369,Are there any scholarships available for B.Tech CSE Honors?,Tech CSE Honors ▾ Basic Courses 18SC1103 - Single variable calculus and matrix algebra (Credits:3) 18SC1104 - Foundations of Computational Mathematics (Credits:1) 18SC1105 - Logic and reasoning (Credi...,admissions,general,yes_no,intermediate,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_baeae5c0,What is the fee structure for B.Tech CSE?,5) 18EC1101 - Digital System Design (Credits:4) 18CS1003 - Workshop Practice for Computer Engineers (Credits:2) Professional Core 18SC1202 - Data Structures (Credits:4) 18CS1201 - Computer Organizatio...,admissions,general,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_ca1f9930,What is the fee structure for B.Tech CSE with Minor from other Department?,Tech CSE with Minor from other Department ▾ Basic Courses 18SC1103 - Single variable calculus and matrix algebra (Credits:3) 18SC1104 - Foundations of Computational Mathematics (Credits:1) 18SC1105 - ...,admissions,general,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_4278c4d9,What is the fee structure for B.Tech CSE Honors?,5) 18EC1101 - Digital System Design (Credits:4) 18CS1003 - Workshop Practice for Computer Engineers (Credits:2) Professional Core 18SC1202 - Data Structures (Credits:4) 18CS1201 - Computer Organizatio...,admissions,general,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_7e3c0034,Can I get admission through lateral entry to B.Tech CSE?,"Praveen Krishna Vision Department of CSE aims to make a stance of international repute through continuous research, innovation and industry led curriculum. Participate as leaders in their fields of ex...",admissions,general,yes_no,intermediate,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_9e2045fb,Can I get admission through lateral entry to B.Tech CSE with Minor from other Department?,Tech CSE with Minor from other Department ▾ Basic Courses 18SC1103 - Single variable calculus and matrix algebra (Credits:3) 18SC1104 - Foundations of Computational Mathematics (Credits:1) 18SC1105 - ...,admissions,general,yes_no,intermediate,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_49144354,Can I get admission through lateral entry to B.Tech CSE Honors?,"Praveen Krishna Vision Department of CSE aims to make a stance of international repute through continuous research, innovation and industry led curriculum. Tech CSE Honors ▾ Basic Courses 18SC1103 - S...",admissions,general,yes_no,intermediate,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_cd2160c7,What is the minimum percentage required for B.Tech CSE?,"Pursue advanced education, research and development, and other creative and innovative efforts in science, engineering, and technology, as well as other professional careers. PO1 Ability to apply know...",admissions,general,factual,intermediate,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_0d055872,What is the minimum percentage required for B.Tech CSE with Minor from other Department?,Tech CSE with Minor from other Department ▾ Basic Courses 18SC1103 - Single variable calculus and matrix algebra (Credits:3) 18SC1104 - Foundations of Computational Mathematics (Credits:1) 18SC1105 - ...,admissions,general,factual,intermediate,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_5f1f6cb4,What is the minimum percentage required for B.Tech CSE Honors?,Tech CSE Honors ▾ Basic Courses 18SC1103 - Single variable calculus and matrix algebra (Credits:3) 18SC1104 - Foundations of Computational Mathematics (Credits:1) 18SC1105 - Logic and reasoning (Credi...,admissions,general,factual,intermediate,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_023ade2f,Is there any management quota for B.Tech CSE?,5) 18EC1101 - Digital System Design (Credits:4) 18CS1003 - Workshop Practice for Computer Engineers (Credits:2) Professional Core 18SC1202 - Data Structures (Credits:4) 18CS1201 - Computer Organizatio...,admissions,general,yes_no,intermediate,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_b54c4281,Is there any management quota for B.Tech CSE with Minor from other Department?,Tech CSE with Minor from other Department ▾ Basic Courses 18SC1103 - Single variable calculus and matrix algebra (Credits:3) 18SC1104 - Foundations of Computational Mathematics (Credits:1) 18SC1105 - ...,admissions,general,yes_no,intermediate,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_f6fa8a85,Is there any management quota for B.Tech CSE Honors?,5) 18EC1101 - Digital System Design (Credits:4) 18CS1003 - Workshop Practice for Computer Engineers (Credits:2) Professional Core 18SC1202 - Data Structures (Credits:4) 18CS1201 - Computer Organizatio...,admissions,general,yes_no,intermediate,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_0eebc394,What is the counseling process for B.Tech CSE?,"PO1 Ability to apply knowledge of Mathematics, science and Engineering PO2 Ability to identify, formulate, and solve engineering problems PO3 Ability to design a system, component or process, to meet ...",admissions,general,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_f6960959,What is the counseling process for B.Tech CSE with Minor from other Department?,Tech CSE with Minor from other Department ▾ Basic Courses 18SC1103 - Single variable calculus and matrix algebra (Credits:3) 18SC1104 - Foundations of Computational Mathematics (Credits:1) 18SC1105 - ...,admissions,general,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_931407f6,What is the counseling process for B.Tech CSE Honors?,"PO1 Ability to apply knowledge of Mathematics, science and Engineering PO2 Ability to identify, formulate, and solve engineering problems PO3 Ability to design a system, component or process, to meet ...",admissions,general,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_b57a3056,How many seats are available in B.Tech CSE?,"Praveen Krishna Vision Department of CSE aims to make a stance of international repute through continuous research, innovation and industry led curriculum. Tech CSE ▾ Basic Courses 18SC1103 - Single v...",admissions,general,numerical,intermediate,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_5180f0f5,How many seats are available in B.Tech CSE with Minor from other Department?,Tech CSE with Minor from other Department ▾ Basic Courses 18SC1103 - Single variable calculus and matrix algebra (Credits:3) 18SC1104 - Foundations of Computational Mathematics (Credits:1) 18SC1105 - ...,admissions,general,numerical,intermediate,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_9604b85e,How many seats are available in B.Tech CSE Honors?,Tech CSE Honors ▾ Basic Courses 18SC1103 - Single variable calculus and matrix algebra (Credits:3) 18SC1104 - Foundations of Computational Mathematics (Credits:1) 18SC1105 - Logic and reasoning (Credi...,admissions,general,numerical,intermediate,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_5155a947,What is the reservation policy for B.Tech CSE?,5) 18EC1101 - Digital System Design (Credits:4) 18CS1003 - Workshop Practice for Computer Engineers (Credits:2) Professional Core 18SC1202 - Data Structures (Credits:4) 18CS1201 - Computer Organizatio...,admissions,general,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_b1021730,What is the reservation policy for B.Tech CSE with Minor from other Department?,Tech CSE with Minor from other Department ▾ Basic Courses 18SC1103 - Single variable calculus and matrix algebra (Credits:3) 18SC1104 - Foundations of Computational Mathematics (Credits:1) 18SC1105 - ...,admissions,general,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_49d653ec,What is the reservation policy for B.Tech CSE Honors?,5) 18EC1101 - Digital System Design (Credits:4) 18CS1003 - Workshop Practice for Computer Engineers (Credits:2) Professional Core 18SC1202 - Data Structures (Credits:4) 18CS1201 - Computer Organizatio...,admissions,general,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_04a93fc9,What is the application fee for B.Tech programmes including Bio?,The online application form is for admission into different programs offered at KL University in Hyderabad and Vijayawada. Verify YourMobile & Email Fill ApplicationForm Online Pay YourApplication Fee...,admissions,general,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_44175f4a,What is the application fee for BBA?,The online application form is for admission into different programs offered at KL University in Hyderabad and Vijayawada. Verify YourMobile & Email Fill ApplicationForm Online Pay YourApplication Fee...,admissions,general,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_c6c30df4,What is the application fee for MBA?,The online application form is for admission into different programs offered at KL University in Hyderabad and Vijayawada. Verify YourMobile & Email Fill ApplicationForm Online Pay YourApplication Fee...,admissions,general,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_6440a606,What are the eligibility criteria for B.Tech programmes including Bio?,Tech programmes including Bio-Technology. Please enter the OTP below and proceed for password change.,admissions,eligibility,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_0a23cea6,What are the eligibility criteria for BBA?,Please enter the OTP below and proceed for password change. The online application form is for admission into different programs offered at KL University in Hyderabad and Vijayawada.,admissions,eligibility,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_fba65b9d,What are the eligibility criteria for MBA?,Please enter the OTP below and proceed for password change. The online application form is for admission into different programs offered at KL University in Hyderabad and Vijayawada.,admissions,eligibility,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_a84e9947,When is the deadline for KLECET applications?,"Here Are Our 200+ Industry Centred Programs To Choose From Note : KLEEE: KL Engineering Entrance Examination, KLSAT: KL Science Aptitude Test, KLECET: KL Engineering Common Entrance Test, KLHAT: KL Hu...",admissions,general,descriptive,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_0feb5c9a,When is the deadline for JEE applications?,Please enter the OTP below and proceed for password change. The online application form is for admission into different programs offered at KL University in Hyderabad and Vijayawada.,admissions,general,descriptive,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_fa8a519e,When is the deadline for EAMCET applications?,Please enter the OTP below and proceed for password change. The online application form is for admission into different programs offered at KL University in Hyderabad and Vijayawada.,admissions,general,descriptive,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_a95e8830,What entrance exams are accepted for B.Tech programmes including Bio?,Candidates have to be successful in KLEEE (KL Engineering Entrance Examination)/ JEE-Main/ JEE-Advanced / State Level Engineering Entrance Exams across India including EAMCET and Merit in Sports/Cultu...,admissions,exams,descriptive,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_c6a64fd3,What entrance exams are accepted for BBA?,"Here Are Our 200+ Industry Centred Programs To Choose From Note : KLEEE: KL Engineering Entrance Examination, KLSAT: KL Science Aptitude Test, KLECET: KL Engineering Common Entrance Test, KLHAT: KL Hu...",admissions,exams,descriptive,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_67107c67,What entrance exams are accepted for MBA?,"Here Are Our 200+ Industry Centred Programs To Choose From Note : KLEEE: KL Engineering Entrance Examination, KLSAT: KL Science Aptitude Test, KLECET: KL Engineering Common Entrance Test, KLHAT: KL Hu...",admissions,exams,descriptive,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_fb261afa,How can I apply for B.Tech programmes including Bio?,"Tech programmes including Bio-Technology. Students with Physics, Chemistry and Biology (PCB) are eligible for B.",admissions,general,procedural,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_2451a990,How can I apply for BBA?,"-------------------------------------------------------------------------------- For your security, we need to verify your identity. Please enter the OTP below and proceed for password change.",admissions,general,procedural,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_6e83f246,How can I apply for MBA?,"-------------------------------------------------------------------------------- For your security, we need to verify your identity. Please enter the OTP below and proceed for password change.",admissions,general,procedural,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_af943a86,What documents are required for B.Tech programmes including Bio admission?,Tech programmes including Bio-Technology. The online application form is for admission into different programs offered at KL University in Hyderabad and Vijayawada.,admissions,documents,descriptive,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_bf32544f,What documents are required for BBA admission?,The online application form is for admission into different programs offered at KL University in Hyderabad and Vijayawada. Here Are Our 200+ Industry Centred Programs To Choose From Note : KLEEE: KL E...,admissions,documents,descriptive,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_4a714486,What documents are required for MBA admission?,The online application form is for admission into different programs offered at KL University in Hyderabad and Vijayawada. Here Are Our 200+ Industry Centred Programs To Choose From Note : KLEEE: KL E...,admissions,documents,descriptive,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_530106ae,What is the selection process for B.Tech programmes including Bio?,Tech programmes including Bio-Technology. Please enter the OTP below and proceed for password change.,admissions,general,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_4042914c,What is the selection process for BBA?,"Please enter the OTP below and proceed for password change. Aside from engineering and management programs, the admission process is based on merit score followed by the Personal Interview (PI) round.",admissions,general,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_de81494d,What is the selection process for MBA?,"Please enter the OTP below and proceed for password change. Aside from engineering and management programs, the admission process is based on merit score followed by the Personal Interview (PI) round.",admissions,general,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_760fe848,Are there any scholarships available for B.Tech programmes including Bio?,"Tech programmes including Bio-Technology. Students with Physics, Chemistry and Biology (PCB) are eligible for B.",admissions,general,yes_no,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_0a31fd0e,Are there any scholarships available for BBA?,"-------------------------------------------------------------------------------- For your security, we need to verify your identity. Please enter the OTP below and proceed for password change.",admissions,general,yes_no,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_729054b3,Are there any scholarships available for MBA?,"-------------------------------------------------------------------------------- For your security, we need to verify your identity. Please enter the OTP below and proceed for password change.",admissions,general,yes_no,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_6548ead3,What is the fee structure for B.Tech programmes including Bio?,Tech programmes including Bio-Technology. Please enter the OTP below and proceed for password change.,admissions,general,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_861359f4,What is the fee structure for BBA?,Please enter the OTP below and proceed for password change. The online application form is for admission into different programs offered at KL University in Hyderabad and Vijayawada.,admissions,general,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_14bcbbad,What is the fee structure for MBA?,Please enter the OTP below and proceed for password change. The online application form is for admission into different programs offered at KL University in Hyderabad and Vijayawada.,admissions,general,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_8d237676,Can I get admission through lateral entry to B.Tech programmes including Bio?,"Tech programmes including Bio-Technology. Tech Lateral Entry), or KLMAT (Management), an in-house KL University entrance exam.",admissions,general,yes_no,intermediate,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_9aac8bf6,Can I get admission through lateral entry to BBA?,"Tech Lateral Entry), or KLMAT (Management), an in-house KL University entrance exam. K L Deemed to be University provides admission through a written test and an interview.",admissions,general,yes_no,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_08faf9ad,Can I get admission through lateral entry to MBA?,"Tech Lateral Entry), or KLMAT (Management), an in-house KL University entrance exam. K L Deemed to be University provides admission through a written test and an interview.",admissions,general,yes_no,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_38472c98,What is the minimum percentage required for B.Tech programmes including Bio?,Tech programmes including Bio-Technology. Please enter the OTP below and proceed for password change.,admissions,general,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_aba58372,What is the minimum percentage required for BBA?,Please enter the OTP below and proceed for password change. The online application form is for admission into different programs offered at KL University in Hyderabad and Vijayawada.,admissions,general,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_790d13a0,What is the minimum percentage required for MBA?,Please enter the OTP below and proceed for password change. The online application form is for admission into different programs offered at KL University in Hyderabad and Vijayawada.,admissions,general,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_c2fed01a,Is there any management quota for B.Tech programmes including Bio?,"Tech programmes including Bio-Technology. Here Are Our 200+ Industry Centred Programs To Choose From Note : KLEEE: KL Engineering Entrance Examination, KLSAT: KL Science Aptitude Test, KLECET: KL Engi...",admissions,general,yes_no,intermediate,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_01c75221,Is there any management quota for BBA?,"Here Are Our 200+ Industry Centred Programs To Choose From Note : KLEEE: KL Engineering Entrance Examination, KLSAT: KL Science Aptitude Test, KLECET: KL Engineering Common Entrance Test, KLHAT: KL Hu...",admissions,general,yes_no,intermediate,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_dbb6369c,Is there any management quota for MBA?,"Here Are Our 200+ Industry Centred Programs To Choose From Note : KLEEE: KL Engineering Entrance Examination, KLSAT: KL Science Aptitude Test, KLECET: KL Engineering Common Entrance Test, KLHAT: KL Hu...",admissions,general,yes_no,intermediate,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_b21ca2c2,What is the counseling process for B.Tech programmes including Bio?,Tech programmes including Bio-Technology. Please enter the OTP below and proceed for password change.,admissions,general,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_f3eb8e6a,What is the counseling process for BBA?,"Please enter the OTP below and proceed for password change. Aside from engineering and management programs, the admission process is based on merit score followed by the Personal Interview (PI) round.",admissions,general,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_fb7b8c5d,What is the counseling process for MBA?,"Please enter the OTP below and proceed for password change. Aside from engineering and management programs, the admission process is based on merit score followed by the Personal Interview (PI) round.",admissions,general,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_a44ba3c5,How many seats are available in B.Tech programmes including Bio?,Tech programmes including Bio-Technology. Candidates have to be successful in KLEEE (KL Engineering Entrance Examination)/ JEE-Main/ JEE-Advanced / State Level Engineering Entrance Exams across India ...,admissions,exams,numerical,intermediate,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_19c83a1f,How many seats are available in BBA?,Com/BBA/BBA-LLB/BBA-MBA This will result in : American Samoa (+1684) United States of America (+1) Antigua and Barbuda (+1268) Bosnia and Herzegovina (+387) British Indian Ocean Territory (+246) Briti...,admissions,general,numerical,intermediate,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_55a368ac,How many seats are available in MBA?,Com/BBA/BBA-LLB/BBA-MBA This will result in : American Samoa (+1684) United States of America (+1) Antigua and Barbuda (+1268) Bosnia and Herzegovina (+387) British Indian Ocean Territory (+246) Briti...,admissions,general,numerical,intermediate,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_e077c43e,What is the reservation policy for B.Tech programmes including Bio?,Tech programmes including Bio-Technology. Please enter the OTP below and proceed for password change.,admissions,general,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_7b0bc2e2,What is the reservation policy for BBA?,Please enter the OTP below and proceed for password change. The online application form is for admission into different programs offered at KL University in Hyderabad and Vijayawada.,admissions,general,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_045601bc,What is the reservation policy for MBA?,Please enter the OTP below and proceed for password change. The online application form is for admission into different programs offered at KL University in Hyderabad and Vijayawada.,admissions,general,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_efc76dc4,What percentage?,ons A Pass in 10+2 or equivalent examination with 60% and above in aggregate and 60% and above in Group,admissions,general,descriptive,basic,0.7,0.77,unreviewed
qa_20250822_160549_55714c64,What is the application fee for PhD?,"D Admission - 2025-26 KLEEE-2025 Phase III Results KLSAT-2025 Phase II Results Applications are invited for the post of Technical Consultant- IPR in Patent Facilitation Project sponsored by DC-MSME, M...",admissions,general,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_b89daca8,What is the application fee for Ph.D?,"D Admission - 2025-26 KLEEE-2025 Phase III Results KLSAT-2025 Phase II Results Applications are invited for the post of Technical Consultant- IPR in Patent Facilitation Project sponsored by DC-MSME, M...",admissions,general,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_f8bbbe64,What are the eligibility criteria for PhD?,"The Mechanism for submission of students’ grievances is online (through ERP Portal)/offline(In-person). Precision Farming and the Value Addition for Scheduled Caste Population in Piduguralla Mandal, G...",admissions,eligibility,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_1691ea14,What are the eligibility criteria for Ph.D?,"The Mechanism for submission of students’ grievances is online (through ERP Portal)/offline(In-person). Precision Farming and the Value Addition for Scheduled Caste Population in Piduguralla Mandal, G...",admissions,eligibility,factual,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_2216c1e2,When is the deadline for KLMAT applications?,"D Admission - 2025-26 KLEEE-2025 Phase III Results KLSAT-2025 Phase II Results Applications are invited for the post of Technical Consultant- IPR in Patent Facilitation Project sponsored by DC-MSME, M...",admissions,general,descriptive,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_565b6d4e,When is the deadline for KLHAT applications?,"D Admission - 2025-26 KLEEE-2025 Phase III Results KLSAT-2025 Phase II Results Applications are invited for the post of Technical Consultant- IPR in Patent Facilitation Project sponsored by DC-MSME, M...",admissions,general,descriptive,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_6f0ee658,When is the deadline for KLSAT applications?,"D Admission - 2025-26 KLEEE-2025 Phase III Results KLSAT-2025 Phase II Results Applications are invited for the post of Technical Consultant- IPR in Patent Facilitation Project sponsored by DC-MSME, M...",admissions,general,descriptive,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_0aa48c65,What entrance exams are accepted for PhD?,KLEEE-2025 Phase I Results Opportunities of Project Officer/Project Associate / Research Associates / Interns/PhD/PDF to work with Speech Research Group (SRG) 2024-25 EVEN SEM ACADEMIC REGISTRATION-GU...,admissions,exams,descriptive,basic,0.7,0.9699999999999999,unreviewed
qa_20250822_160549_07849271,What entrance exams are accepted for Ph.D?,"The Mechanism for submission of students’ grievances is online (through ERP Portal)/offline(In-person). Precision Farming and the Value Addition for Scheduled Caste Population in Piduguralla Mandal, G...",admissions,exams,descriptive,basic,0.7,0.9699999999999999,unreviewed
